id,age,zip_code,education
1,35,51814,12th
2,22,39955,Masters
3,42,35891,7th-8th
4,59,54052,University Graduate
5,27,36525,Doctorate
6,96,30946,
7,80,68005,9th
8,47,53148,Preschool
9,38,38600,Doctorate
10,48,58772,1st-4th
11,14,57227,University Graduate
12,76,61074,Preschool
13,82,58853,9th
14,2,60835,11th
15,35,40739,Doctorate
16,43,46366,12th
17,62,47371,Doctorate
18,79,51021,5th-6th
19,47,30825,9th
20,40,50972,10th
21,12,62203,1st-4th
22,77,43502,Masters
23,8,53653,University Graduate
24,9,36512,5th-6th
25,51,34954,9th
26,29,40906,1st-4th
27,10,55940,7th-8th
28,96,39421,9th
29,31,33982,
30,73,48710,1st-4th
31,24,63870,
32,56,66930,5th-6th
33,94,48132,University Graduate
34,92,61820,Masters
35,54,35353,11th
36,4,35347,9th
37,25,32829,7th-8th
38,67,31098,10th
39,99,54345,7th-8th
40,72,68823,1st-4th
41,96,68285,11th
42,1,63792,Doctorate
43,23,52329,7th-8th
44,56,39674,9th
45,38,48343,7th-8th
46,15,60488,Doctorate
47,36,56400,Preschool
48,71,60307,9th
49,82,58033,11th
50,20,55750,11th
