id,age,zip_code,education
1,5,40126,9th
2,23,42490,11th
3,29,68860,Masters
4,3,64597,Doctorate
5,66,58869,Preschool
6,39,40985,11th
7,4,55449,Doctorate
8,46,32559,University Graduate
9,28,46438,Masters
10,98,66536,Masters
11,80,65570,9th
12,83,47490,Masters
13,40,37037,7th-8th
14,11,42793,University Graduate
15,24,45731,
16,77,44009,
17,41,37925,Doctorate
18,93,31444,9th
19,95,58941,11th
20,23,32498,7th-8th
21,32,48166,10th
22,69,34118,University Graduate
23,33,32384,9th
24,70,32651,7th-8th
25,71,56628,Doctorate
26,96,43652,11th
27,71,37944,12th
28,30,58629,12th
29,15,67422,1st-4th
30,34,42020,12th
31,55,67020,Masters
32,40,67158,5th-6th
33,36,43973,Preschool
34,93,37931,Masters
35,76,47816,Preschool
36,9,52687,
37,14,33020,11th
38,18,68239,7th-8th
39,36,45115,Preschool
40,11,43638,
41,97,31170,10th
42,42,59853,Preschool
43,16,61604,1st-4th
44,23,42938,10th
45,46,60296,9th
46,70,59506,11th
47,96,69073,9th
48,94,38276,10th
49,10,66555,10th
50,95,46852,9th
51,44,58770,1st-4th
52,52,31599,12th
53,68,36037,Doctorate
54,39,46448,1st-4th
55,22,38116,
56,20,44923,12th
57,50,49584,1st-4th
58,37,49601,9th
59,46,46435,10th
60,68,63972,Doctorate
61,22,60981,5th-6th
62,54,40531,10th
63,41,34699,
64,59,49889,Preschool
65,98,41096,9th
66,20,45648,1st-4th
67,25,34066,5th-6th
68,74,33418,5th-6th
69,28,42993,12th
70,75,33872,7th-8th
71,67,52777,University Graduate
72,62,50323,5th-6th
73,26,32399,Preschool
74,87,38868,Doctorate
75,23,30513,University Graduate
76,49,37044,11th
77,2,65991,9th
78,75,58668,University Graduate
79,59,60165,Masters
80,30,67022,University Graduate
81,38,67123,1st-4th
82,28,68283,9th
83,16,57016,9th
84,69,43306,7th-8th
85,88,50093,Doctorate
86,59,55809,9th
87,55,66370,5th-6th
88,64,44865,University Graduate
89,23,44947,11th
90,95,42768,10th
91,59,46625,1st-4th
92,20,34689,10th
93,46,53544,
94,13,46348,9th
95,14,46692,Doctorate
96,35,48235,9th
97,37,38158,12th
98,41,57140,12th
99,13,65934,Preschool
100,64,46823,5th-6th
101,79,37043,Masters
102,51,48304,9th
103,73,49177,12th
104,46,39081,Preschool
105,77,52089,Preschool
106,98,37870,12th
107,98,61532,5th-6th
108,61,52252,Doctorate
109,99,34782,1st-4th
110,31,55271,
111,12,36333,Masters
112,30,39505,7th-8th
113,5,69637,7th-8th
114,70,59694,7th-8th
115,50,66783,Preschool
116,80,54982,12th
117,18,35723,University Graduate
118,71,49150,10th
119,83,46648,
120,77,56467,University Graduate
121,72,54908,10th
122,1,45832,Masters
123,69,39536,12th
124,20,44262,Doctorate
125,53,36828,University Graduate
126,24,52664,11th
127,97,50669,10th
128,17,38813,12th
129,35,35848,12th
130,36,61852,12th
131,33,32895,12th
132,32,44017,1st-4th
133,29,32260,12th
134,88,58019,
135,55,64662,
136,67,67980,7th-8th
137,70,43928,Masters
138,97,63952,1st-4th
139,60,62910,5th-6th
140,82,39640,University Graduate
141,55,37246,Masters
142,48,54198,1st-4th
143,73,48631,11th
144,37,43057,Preschool
145,97,55486,Masters
146,11,44739,Masters
147,93,37740,9th
148,67,41504,University Graduate
149,89,53570,11th
150,13,65817,9th
151,94,32455,9th
152,27,58576,
153,8,30778,11th
154,30,52651,Preschool
155,3,42484,
156,38,63367,Preschool
157,15,57232,11th
158,37,47529,Masters
159,8,66178,9th
160,88,38016,11th
161,18,47688,1st-4th
162,42,41225,11th
163,72,39455,10th
164,80,40679,9th
165,99,32311,9th
166,3,64905,1st-4th
167,33,63981,11th
168,49,42536,11th
169,95,33041,9th
170,58,46175,5th-6th
171,21,43158,10th
172,10,40169,Preschool
173,40,60928,Masters
174,42,47465,9th
175,22,30052,
176,71,53793,1st-4th
177,12,30717,Doctorate
178,1,49967,10th
179,70,40816,1st-4th
180,81,69687,
181,55,31228,1st-4th
182,45,64867,Doctorate
183,20,44599,7th-8th
184,66,63130,10th
185,36,41159,1st-4th
186,90,55010,11th
187,85,34991,1st-4th
188,22,41992,7th-8th
189,5,52483,
190,12,51751,10th
191,63,53050,11th
192,78,51637,Masters
193,16,47758,10th
194,60,60264,11th
195,96,47836,Masters
196,45,41388,1st-4th
197,67,35604,12th
198,43,65462,Masters
199,7,57391,11th
200,35,36332,9th
201,90,37954,Preschool
202,2,68893,12th
203,36,41650,Doctorate
204,63,58782,Masters
205,1,43890,5th-6th
206,57,55404,11th
207,23,69802,University Graduate
208,26,52682,7th-8th
209,16,36501,Masters
210,62,38908,Preschool
211,16,67410,11th
212,99,34094,10th
213,99,34935,
214,94,66797,5th-6th
215,14,40028,9th
216,62,44361,University Graduate
217,27,31678,5th-6th
218,6,66541,
219,26,45571,9th
220,54,63493,7th-8th
221,30,39863,10th
222,24,54396,11th
223,42,41000,5th-6th
224,63,52659,University Graduate
225,27,64839,10th
226,86,57507,Preschool
227,52,47541,
228,18,62081,Masters
229,23,38391,University Graduate
230,42,34143,5th-6th
231,8,49724,10th
232,82,44413,10th
233,76,48112,10th
234,55,63410,5th-6th
235,75,61311,Preschool
236,60,63406,5th-6th
237,8,39029,5th-6th
238,8,44885,1st-4th
239,46,42669,11th
240,15,43670,University Graduate
241,73,37511,
242,36,47231,1st-4th
243,58,66796,11th
244,77,35675,9th
245,17,65998,Doctorate
246,11,32879,Doctorate
247,77,35178,Masters
248,52,32401,5th-6th
249,21,59936,5th-6th
250,80,62718,11th
251,32,34178,10th
252,33,39711,7th-8th
253,98,64985,11th
254,52,51624,11th
255,91,44822,
256,58,44949,University Graduate
257,2,69395,
258,7,49484,7th-8th
259,18,60142,5th-6th
260,45,53555,10th
261,81,33485,5th-6th
262,82,30551,7th-8th
263,83,37852,Masters
264,38,65881,Preschool
265,97,65413,
266,44,64022,10th
267,64,42558,Preschool
268,26,31407,9th
269,48,46592,Masters
270,49,57458,1st-4th
271,46,36091,Masters
272,70,34007,1st-4th
273,99,45953,Doctorate
274,87,36793,
275,11,39230,Doctorate
276,72,38956,10th
277,82,30498,Preschool
278,24,57767,10th
279,96,69590,5th-6th
280,62,65334,12th
281,81,55087,Preschool
282,48,46490,5th-6th
283,37,47405,11th
284,75,53049,Doctorate
285,47,67079,7th-8th
286,5,55341,12th
287,28,42706,10th
288,62,43965,Doctorate
289,15,41302,
290,82,40438,5th-6th
291,17,66655,7th-8th
292,33,60233,12th
293,34,62976,10th
294,41,53508,5th-6th
295,54,41244,10th
296,75,56206,1st-4th
297,51,64289,Doctorate
298,64,42529,
299,54,51636,Doctorate
300,51,45296,11th
301,99,61899,Masters
302,41,65175,University Graduate
303,1,48850,5th-6th
304,99,60799,9th
305,38,58122,1st-4th
306,82,39630,11th
307,50,36882,Preschool
308,25,61397,Preschool
309,13,49787,11th
310,11,42212,1st-4th
311,54,69987,7th-8th
312,74,42171,Masters
313,80,53633,7th-8th
314,29,64199,Doctorate
315,85,39927,5th-6th
316,24,66962,12th
317,96,39521,Doctorate
318,43,40446,11th
319,16,68064,7th-8th
320,92,50846,University Graduate
321,84,45451,12th
322,23,41163,9th
323,66,31087,Preschool
324,47,38831,5th-6th
325,70,57622,5th-6th
326,39,55272,9th
327,51,47077,1st-4th
328,60,50593,11th
329,45,64116,University Graduate
330,89,47056,9th
331,62,33888,University Graduate
332,49,40167,9th
333,59,62478,12th
334,97,47681,10th
335,70,44823,7th-8th
336,97,64738,5th-6th
337,45,66153,5th-6th
338,83,42649,University Graduate
339,16,36911,Preschool
340,93,30646,Preschool
341,76,37999,12th
342,44,43781,Doctorate
343,47,47129,Doctorate
344,41,50487,1st-4th
345,9,54565,10th
346,95,39988,5th-6th
347,75,41238,11th
348,39,49801,10th
349,9,61215,7th-8th
350,78,46338,
351,16,45521,University Graduate
352,35,66442,University Graduate
353,27,32659,12th
354,91,53965,
355,69,43437,10th
356,93,43777,Doctorate
357,63,41906,12th
358,96,38109,
359,24,39803,9th
360,23,53676,10th
361,10,62092,12th
362,2,69587,9th
363,25,47496,12th
364,82,32622,5th-6th
365,98,60799,12th
366,11,67196,Masters
367,30,57188,Doctorate
368,41,45465,1st-4th
369,44,35778,Preschool
370,44,40467,University Graduate
371,34,32761,1st-4th
372,46,48404,7th-8th
373,99,30308,7th-8th
374,25,69677,University Graduate
375,63,40774,University Graduate
376,29,31676,11th
377,70,38999,
378,92,63203,University Graduate
379,23,50062,
380,89,60128,1st-4th
381,47,52772,Preschool
382,34,62391,University Graduate
383,15,64659,9th
384,14,35995,10th
385,82,49105,Masters
386,82,36875,7th-8th
387,54,51339,1st-4th
388,46,64530,9th
389,63,53985,
390,58,54141,5th-6th
391,36,55905,1st-4th
392,67,62248,
393,18,63923,5th-6th
394,24,57575,Masters
395,74,40405,University Graduate
396,39,55718,University Graduate
397,34,66643,1st-4th
398,20,58834,Doctorate
399,74,57579,5th-6th
400,73,65475,University Graduate
401,76,68554,7th-8th
402,59,36128,11th
403,22,61104,
404,90,43181,11th
405,61,41823,1st-4th
406,28,40964,12th
407,41,62524,Preschool
408,85,41120,Masters
409,35,47110,Masters
410,17,64250,Preschool
411,41,69237,9th
412,46,59831,9th
413,28,63086,Preschool
414,28,59870,1st-4th
415,13,43417,9th
416,14,53156,5th-6th
417,9,36826,Masters
418,94,37600,Masters
419,83,69534,11th
420,80,65090,1st-4th
421,35,38781,7th-8th
422,47,34859,
423,64,62718,12th
424,36,49077,Doctorate
425,30,35682,7th-8th
426,67,69385,Preschool
427,11,44670,Doctorate
428,23,31697,9th
429,72,66287,10th
430,58,56406,Doctorate
431,32,46338,Doctorate
432,59,64812,11th
433,15,44960,
434,3,30468,
435,77,35573,5th-6th
436,56,38808,Masters
437,44,58328,11th
438,67,49245,Doctorate
439,71,32043,12th
440,52,41202,10th
441,34,52818,University Graduate
442,53,55536,7th-8th
443,58,66244,11th
444,20,66406,10th
445,62,30149,12th
446,22,36001,12th
447,29,45283,Doctorate
448,61,63602,
449,26,43652,
450,7,66012,11th
451,74,60552,Preschool
452,8,64998,University Graduate
453,8,65293,12th
454,52,32596,Doctorate
455,44,39550,
456,54,46936,1st-4th
457,52,64589,7th-8th
458,81,41610,Doctorate
459,82,66529,12th
460,25,58873,University Graduate
461,72,33471,1st-4th
462,46,37981,Masters
463,45,34649,9th
464,2,66454,Masters
465,27,39048,5th-6th
466,12,54185,University Graduate
467,1,39985,9th
468,7,39139,11th
469,70,68606,12th
470,10,36717,7th-8th
471,74,56346,12th
472,85,39589,5th-6th
473,94,61405,11th
474,61,51628,7th-8th
475,17,55702,Preschool
476,25,40650,12th
477,29,39047,Doctorate
478,15,41352,Preschool
479,1,66840,10th
480,52,37572,9th
481,8,54659,Preschool
482,46,39029,5th-6th
483,33,55873,10th
484,53,40499,1st-4th
485,97,54829,10th
486,16,61620,5th-6th
487,69,64020,University Graduate
488,66,58262,Doctorate
489,42,37356,9th
490,53,66739,University Graduate
491,10,67028,11th
492,42,33193,Masters
493,2,56734,5th-6th
494,34,30702,7th-8th
495,92,59219,Doctorate
496,48,46412,Doctorate
