+id,age,zip_code,education
1,85,68904,
2,76,32990,9th
3,7,47778,7th-8th
4,19,67604,Masters
5,64,32976,9th
6,72,50121,Doctorate
7,47,48666,11th
8,71,51785,Masters
9,60,52131,10th
10,43,59044,University Graduate
11,3,45718,12th
12,97,68775,12th
13,56,67434,7th-8th
14,76,37695,5th-6th
15,64,60395,9th
16,18,53823,Masters
17,70,68730,7th-8th
18,93,32312,Masters
19,21,58528,Preschool
20,72,58264,Preschool
21,32,31089,7th-8th
22,64,31798,7th-8th
23,4,63814,University Graduate
24,5,38682,
25,19,57270,12th
26,96,47928,5th-6th
27,80,33799,
28,91,31109,Masters
29,87,58338,5th-6th
30,96,66281,9th
31,24,59319,12th
32,92,37401,Preschool
33,29,32788,5th-6th
34,9,58782,
35,43,62232,11th
36,33,66751,9th
37,66,30000,1st-4th
38,75,68543,5th-6th
39,69,69717,Masters
40,30,60537,University Graduate
41,6,40454,
42,11,40548,1st-4th
43,89,46763,9th
44,51,45038,5th-6th
45,83,39338,Masters
46,7,48504,7th-8th
47,63,50658,Masters
48,66,49034,Preschool
49,44,53943,12th
50,71,49871,5th-6th
51,62,36074,1st-4th
52,82,44671,University Graduate
53,6,35901,10th
54,95,66354,
55,63,68546,10th
56,30,50422,Doctorate
57,86,47654,9th
58,85,47540,5th-6th
59,31,54919,University Graduate
60,31,44331,7th-8th
61,55,53297,1st-4th
62,13,39119,12th
63,37,33241,9th
64,69,50115,Doctorate
65,12,66877,12th
66,69,43046,Masters
67,76,51157,10th
68,86,69354,Masters
69,36,67060,University Graduate
70,71,57595,Preschool
71,56,59430,
72,4,64590,11th
73,74,54460,5th-6th
74,17,35886,Doctorate
75,23,36330,9th
76,81,63310,9th
77,79,40764,5th-6th
78,55,68387,12th
79,26,66967,10th
80,7,68827,1st-4th
81,4,35418,12th
82,86,40899,5th-6th
83,85,58804,1st-4th
84,50,53010,10th
85,69,43596,5th-6th
86,62,65997,9th
87,81,52645,11th
88,29,36983,Masters
89,47,61689,7th-8th
90,54,38296,7th-8th
91,95,40821,11th
92,95,55288,7th-8th
93,87,30254,7th-8th
94,2,35560,Masters
95,83,31953,9th
96,84,38758,11th
97,1,52344,Preschool
98,61,53629,5th-6th
99,22,52329,Preschool
100,98,69596,Masters
101,36,47147,12th
102,88,30309,9th
103,28,43047,Doctorate
104,41,46237,Doctorate
105,50,37409,University Graduate
106,18,47117,Preschool
107,52,52898,11th
108,62,52180,12th
109,31,52910,1st-4th
110,9,35011,Doctorate
111,87,42105,1st-4th
112,76,39911,5th-6th
113,93,65295,
114,81,61084,Preschool
115,87,30842,10th
116,27,68600,1st-4th
117,58,38843,Doctorate
118,68,54232,Masters
119,6,52109,7th-8th
120,99,33202,5th-6th
121,64,63040,12th
122,71,43314,12th
123,40,66736,Masters
124,93,33188,University Graduate
125,26,61189,Masters
126,89,54873,9th
127,78,53382,11th
128,92,55374,5th-6th
129,11,36576,12th
130,85,35847,University Graduate
131,85,38244,Doctorate
132,69,43818,12th
133,50,63733,Doctorate
134,10,60728,10th
135,95,54684,
136,19,60107,1st-4th
137,29,35346,Doctorate
138,71,69798,Doctorate
139,37,41411,11th
140,30,30368,5th-6th
141,5,44146,5th-6th
142,3,54977,7th-8th
143,73,38882,10th
144,61,54176,1st-4th
145,86,57519,11th
146,41,41789,5th-6th
147,11,62911,7th-8th
148,69,58218,1st-4th
149,9,44754,5th-6th
150,9,46327,University Graduate
151,84,35927,Doctorate
152,1,47957,9th
153,33,44765,Doctorate
