weight;ph;avg
915;949;770
257;483;548
769;121;663
649;63;331
694;228;971
56;111;298
482;324;531
433;1;674
231;425;475
581;960;440
535;478;400
543;362;135
851;55;305
29;821;506
664;285;502
266;142;9
225;683;511
377;90;459
258;332;762
831;131;443
897;402;977
798;525;959
107;780;832
367;265;265
63;882;461
218;77;396
360;988;321
560;773;703
878;691;949
562;699;865
423;572;407
234;450;729
455;455;763
816;241;905
196;251;609
799;603;200
45;278;932
450;614;777
207;366;853
506;637;969
322;313;945
965;443;506
784;519;585
757;863;771
70;401;250
679;519;607
351;999;57
669;330;444
344;478;106
252;805;387
777;430;690
128;679;139
264;482;15
882;572;428
623;196;69
746;376;592
180;434;144
150;721;270
614;664;208
425;799;119
265;626;648
759;759;843
10;118;184
812;608;452
71;503;53
226;852;94
251;670;385
49;48;519
27;998;83
106;354;36
161;201;614
382;897;998
123;825;406
962;501;675
298;2;210
224;293;474
523;97;197
129;351;439
754;432;747
285;816;289
719;174;636
978;788;179
91;5;134
168;721;224
564;376;656
394;529;820
475;963;421
941;423;552
543;651;817
728;303;431
962;91;454
804;550;137
751;624;240
947;749;942
63;101;923
332;338;264
146;373;410
400;228;266
859;344;180
269;854;984
979;714;458
546;133;524
364;948;884
710;108;161
759;558;674
889;692;933
257;831;64
13;468;381
762;255;409
574;487;595
233;292;957
312;940;505
993;667;928
302;71;480
722;111;257
565;540;227
461;901;373
502;495;93
667;863;996
928;261;236
263;150;670
720;694;838
196;687;118
666;894;876
625;213;923
482;256;301
446;103;847
656;355;772
89;786;231
872;442;652
744;208;957
6;570;15
385;143;462
345;422;728
108;725;353
976;304;662
22;215;69
703;447;332
543;46;338
172;823;543
318;597;152
665;911;154
218;195;236
230;256;943
488;265;896
749;577;141
167;950;950
510;443;74
84;695;949
625;961;631
839;540;479
461;670;184
524;923;786
391;167;989
193;954;809
88;489;477
691;50;919
146;293;299
580;608;224
999;386;867
714;157;632
898;71;951
5;640;383
412;556;108
824;950;665
775;323;268
839;817;994
546;781;8
438;616;906
971;862;162
350;886;311
901;262;963
2;930;877
274;443;89
684;256;983
175;385;867
635;686;97
855;21;957
702;444;45
747;321;405
946;266;681
991;994;359
104;369;340
354;398;651
588;576;208
974;837;453
434;330;413
129;586;115
941;135;616
599;967;83
687;716;418
760;779;134
896;351;380
847;162;624
380;202;836
688;231;186
146;617;692
652;416;233
559;897;683
753;663;383
735;741;942
305;103;631
164;838;938
752;365;829
208;543;184
630;75;594
527;476;487
24;775;944
232;313;768
179;786;760
575;897;597
356;325;340
408;786;815
963;473;761
215;429;702
474;652;624
169;240;628
597;887;413
788;517;130
529;692;143
837;851;322
386;432;663
339;698;913
166;912;471
382;153;620
366;29;196
993;132;144
434;778;299
458;955;800
797;324;529
685;249;693
910;916;266
192;836;224
684;859;151
866;814;238
405;7;452
408;216;864
563;400;139
76;14;640
462;484;12
891;898;237
30;544;756
73;839;394
980;521;628
784;221;537
528;537;138
671;499;932
160;548;994
86;819;351
571;560;430
550;876;844
817;371;363
803;791;951
28;24;333
983;243;904
104;529;466
562;341;100
960;737;397
554;183;617
416;884;696
197;851;597
840;191;9
42;227;863
513;41;489
369;998;913
774;720;912
666;124;501
281;676;210
646;932;886
328;609;408
766;369;718
268;758;306
822;674;861
829;353;832
310;529;4
316;742;230
47;104;616
72;449;692
915;78;977
267;893;318
993;935;671
600;581;256
423;380;816
72;969;865
664;800;584
669;397;739
173;34;352
777;619;758
149;24;403
141;330;9
679;819;540
828;118;533
594;747;120
787;435;550
249;206;120
195;145;43
436;787;426
760;195;464
176;463;382
569;680;89
365;962;926
212;711;44
512;352;447
787;23;417
607;547;434
763;664;389
588;613;727
671;11;816
845;489;765
907;565;542
983;57;16
39;341;774
270;735;279
133;882;681
304;190;229
632;816;279
87;777;662
435;22;634
924;331;906
350;39;370
700;904;114
171;967;363
60;921;158
200;879;166
298;91;117
836;741;103
144;723;976
358;896;650
643;779;794
338;140;902
8;177;500
289;517;350
55;637;445
643;512;23
702;597;763
147;300;461
550;555;87
287;843;710
794;944;149
825;688;170
336;663;141
697;576;195
163;952;534
601;400;250
705;146;828
163;955;49
665;17;731
936;743;990
