Age;Workclass;Fnlwgt;Education;Education-num;Marital-status;Occupation;Relationship;Race;Sex;Capital-gain;Capital-loss;Hours-per-week;Native-country;Salary
31;Non-Government;45781;*;14;Single;Technical;*;*;*;14084;0;50;*;*
32;Non-Government;186824;*;9;Single;Technical;*;*;*;0;0;40;*;*
59;Non-Government;109015;*;9;Single;Technical;*;*;*;0;0;40;*;*
19;Non-Government;168294;*;9;Single;Technical;*;*;*;0;0;40;*;*
48;Non-Government;242406;*;7;Single;Technical;*;*;*;0;0;40;*;*
21;Non-Government;197200;*;10;Single;Technical;*;*;*;0;0;40;*;*
29;Non-Government;271466;*;11;Single;Technical;*;*;*;0;0;43;*;*
29;Non-Government;105598;*;10;Single;Technical;*;*;*;0;0;58;*;*
19;Non-Government;101509;*;10;Single;Technical;*;*;*;0;0;32;*;*
23;Non-Government;211678;*;10;Single;Technical;*;*;*;0;0;40;*;*
44;Non-Government;343591;*;9;Single;Technical;*;*;*;14344;0;40;*;*
37;Non-Government;286730;*;10;Single;Technical;*;*;*;0;0;40;*;*
28;Non-Government;212563;*;10;Single;Technical;*;*;*;0;0;25;*;*
47;Non-Government;149116;*;14;Single;Technical;*;*;*;0;0;50;*;*
20;Non-Government;188300;*;10;Single;Technical;*;*;*;0;0;40;*;*
29;Non-Government;103432;*;9;Single;Technical;*;*;*;0;0;40;*;*
36;Non-Government;102864;*;9;Single;Technical;*;*;*;0;0;40;*;*
22;Non-Government;102632;*;9;Single;Technical;*;*;*;0;0;41;*;*
39;Non-Government;365739;*;10;Single;Technical;*;*;*;0;0;40;*;*
46;Non-Government;146195;*;12;Single;Technical;*;*;*;0;0;36;*;*
45;Non-Government;196584;*;11;Single;Technical;*;*;*;0;1564;40;*;*
70;Non-Government;105376;*;10;Single;Technical;*;*;*;0;0;40;*;*
21;Non-Government;296158;*;9;Single;Technical;*;*;*;0;0;35;*;*
29;Non-Government;191535;*;9;Single;Technical;*;*;*;0;0;60;*;*
27;Non-Government;428030;*;13;Single;Technical;*;*;*;0;0;50;*;*
21;Non-Government;312956;*;9;Single;Technical;*;*;*;0;0;40;*;*
30;Non-Government;633742;*;10;Single;Technical;*;*;*;0;0;45;*;*
38;Non-Government;155222;*;10;Single;Technical;*;*;*;0;0;28;*;*
36;Non-Government;99374;*;10;Single;Technical;*;*;*;0;0;40;*;*
26;Non-Government;397317;*;14;Single;Technical;*;*;*;0;1876;40;*;*
35;Non-Government;36270;*;9;Single;Technical;*;*;*;0;0;60;*;*
25;Non-Government;255004;*;6;Single;Technical;*;*;*;0;0;40;*;*
33;Non-Government;110978;*;10;Single;Technical;*;*;*;0;0;40;*;*
28;Non-Government;76714;*;15;Single;Technical;*;*;*;0;0;55;*;*
38;Non-Government;179488;*;10;Single;Technical;*;*;*;0;1741;40;*;*
50;Non-Government;204518;*;4;Single;Technical;*;*;*;0;0;40;*;*
36;Non-Government;150042;*;13;Single;Technical;*;*;*;0;0;40;*;*
33;Non-Government;185480;*;13;Single;Technical;*;*;*;0;0;45;*;*
30;Non-Government;70377;*;9;Single;Technical;*;*;*;0;0;40;*;*
25;Non-Government;193787;*;10;Single;Technical;*;*;*;0;0;40;*;*
22;Non-Government;34918;*;13;Single;Technical;*;*;*;0;0;15;*;*
60;Non-Government;173960;*;13;Single;Technical;*;*;*;0;0;42;*;*
31;Non-Government;127595;*;9;Single;Technical;*;*;*;0;0;40;*;*
27;Non-Government;248402;*;13;Single;Technical;*;*;*;0;0;40;*;*
24;Non-Government;278130;*;9;Single;Technical;*;*;*;0;0;40;*;*
26;Non-Government;193945;*;12;Single;Technical;*;*;*;0;0;45;*;*
46;Non-Government;83082;*;12;Single;Technical;*;*;*;0;0;33;*;*
36;Non-Government;205607;*;13;Single;Technical;*;*;*;0;0;40;*;*
24;Non-Government;191954;*;10;Single;Technical;*;*;*;0;0;40;*;*
29;Non-Government;423158;*;10;Single;Technical;*;*;*;0;0;40;*;*
41;Non-Government;206565;*;10;Single;Technical;*;*;*;0;0;45;*;*
30;Non-Government;94235;*;9;Single;Technical;*;*;*;0;0;40;*;*
49;Non-Government;71195;*;14;Single;Technical;*;*;*;0;0;60;*;*
31;Non-Government;156464;*;13;Single;Technical;*;*;*;0;0;25;*;*
44;Non-Government;160323;*;9;Single;Technical;*;*;*;0;0;40;*;*
46;Non-Government;214955;*;3;Single;Technical;*;*;*;0;2339;45;*;*
29;Non-Government;134152;*;9;Single;Technical;*;*;*;0;0;40;*;*
27;Non-Government;301302;*;13;Single;Technical;*;*;*;0;0;50;*;*
46;Non-Government;277946;*;12;Single;Technical;*;*;*;0;0;40;*;*
34;Non-Government;227689;*;11;Single;Technical;*;*;*;0;0;64;*;*
35;Non-Government;92440;*;8;Single;Technical;*;*;*;0;0;50;*;*
33;Non-Government;228528;*;6;Single;Technical;*;*;*;0;0;35;*;*
40;Non-Government;204116;*;13;Single;Technical;*;*;*;2174;0;40;*;*
27;Non-Government;116358;*;10;Single;Technical;*;*;*;0;1980;40;*;*
29;Non-Government;363425;*;13;Single;Technical;*;*;*;0;0;40;*;*
27;Non-Government;405855;*;5;Single;Technical;*;*;*;0;0;40;*;*
19;Non-Government;206399;*;9;Single;Technical;*;*;*;0;0;40;*;*
50;Non-Government;193374;*;2;Single;Technical;*;*;*;0;0;40;*;*
24;Non-Government;170070;*;13;Single;Technical;*;*;*;0;0;20;*;*
60;Non-Government;201965;*;10;Single;Technical;*;*;*;0;0;40;*;*
35;Non-Government;285020;*;9;Single;Technical;*;*;*;0;0;40;*;*
46;Non-Government;279196;*;13;Single;Technical;*;*;*;0;0;40;*;*
41;Non-Government;193626;*;9;Single;Technical;*;*;*;0;0;40;*;*
34;Non-Government;187251;*;9;Single;Technical;*;*;*;0;0;25;*;*
33;Non-Government;178107;*;13;Single;Technical;*;*;*;0;0;20;*;*
20;Non-Government;262749;*;10;Single;Technical;*;*;*;0;0;40;*;*
26;Non-Government;64293;*;10;Single;Technical;*;*;*;0;0;35;*;*
32;Non-Government;37070;*;11;Single;Technical;*;*;*;0;0;45;*;*
28;Non-Government;189346;*;9;Single;Technical;*;*;*;0;0;45;*;*
44;Non-Government;177905;*;10;Single;Technical;*;*;*;0;0;58;*;*
44;Non-Government;109339;*;7;Single;Technical;*;*;*;0;0;46;*;*
26;Non-Government;108658;*;9;Single;Technical;*;*;*;0;0;40;*;*
29;Non-Government;102345;*;11;Single;Technical;*;*;*;0;0;40;*;*
29;Non-Government;133937;*;16;Single;Technical;*;*;*;0;0;40;*;*
28;Non-Government;184831;*;10;Single;Technical;*;*;*;0;0;40;*;*
69;Non-Government;136218;*;7;Single;Technical;*;*;*;0;0;40;*;*
29;Non-Government;110663;*;9;Single;Technical;*;*;*;0;0;35;*;*
24;Non-Government;354351;*;9;Single;Technical;*;*;*;0;0;40;*;*
27;Non-Government;158156;*;16;Single;Technical;*;*;*;0;0;70;*;*
31;Non-Government;340939;*;13;Single;Technical;*;*;*;0;0;40;*;*
57;Non-Government;103948;*;13;Single;Technical;*;*;*;0;0;80;*;*
25;Non-Government;200408;*;10;Single;Technical;*;*;*;2174;0;40;*;*
49;Non-Government;136455;*;13;Single;Technical;*;*;*;0;0;45;*;*
32;Non-Government;239824;*;13;Single;Technical;*;*;*;0;0;40;*;*
29;Non-Government;182521;*;9;Single;Technical;*;*;*;0;0;40;*;*
52;Non-Government;200853;*;14;Single;Technical;*;*;*;6849;0;60;*;*
24;Non-Government;247564;*;9;Single;Technical;*;*;*;0;0;40;*;*
26;Non-Government;75654;*;9;Single;Technical;*;*;*;0;0;55;*;*
50;Non-Government;195322;*;16;Single;Technical;*;*;*;0;0;40;*;*
27;Non-Government;288341;*;9;Single;Technical;*;*;*;0;0;32;*;*
27;Non-Government;111900;*;10;Single;Technical;*;*;*;0;0;40;*;*
42;Non-Government;341204;*;12;Single;Technical;*;*;*;8614;0;40;*;*
24;Non-Government;172146;*;5;Single;Technical;*;*;*;0;1721;40;*;*
31;Non-Government;125457;*;9;Single;Technical;*;*;*;0;0;45;*;*
24;Non-Government;140027;*;10;Single;Technical;*;*;*;0;0;45;*;*
20;Non-Government;316702;*;10;Single;Technical;*;*;*;0;0;20;*;*
35;Non-Government;203628;*;14;Single;Technical;*;*;*;0;0;60;*;*
