Age;Job;Marital;Education;Default;Housing;Loan;Contact;Month;Day_of_week;Campaign;Pdays;Previous;Poutcome;Y
90~99;retired;divorced;basic.6y;no;no;no;cellular;mar;thu;1~56;999;0;nonexistent;no
90~99;retired;married;university.degree;no;yes;yes;cellular;sep;wed;1~56;999;2;failure;no
90~99;retired;married;university.degree;no;no;yes;cellular;sep;wed;1~56;999;0;nonexistent;no
90~99;retired;married;basic.4y;unknown;yes;no;cellular;oct;fri;1~56;2;2;success;yes
90~99;retired;married;basic.4y;unknown;yes;no;cellular;oct;fri;1~56;999;0;nonexistent;yes
90~99;retired;married;basic.9y;no;no;no;cellular;nov;wed;1~56;999;1;failure;no
90~99;retired;married;unknown;no;yes;no;cellular;may;thu;1~56;6;2;success;no
90~99;retired;divorced;unknown;unknown;no;no;cellular;may;wed;1~56;999;1;failure;yes
90~99;retired;married;unknown;no;no;yes;cellular;aug;tue;1~56;3;1;success;yes
90~99;retired;married;unknown;no;no;yes;cellular;aug;wed;1~56;3;4;success;yes
85~89;retired;divorced;basic.4y;no;yes;no;cellular;mar;wed;1~56;999;0;nonexistent;no
85~89;retired;divorced;basic.4y;no;no;no;cellular;mar;wed;1~56;999;0;nonexistent;yes
85~89;retired;divorced;basic.4y;no;yes;yes;cellular;mar;wed;1~56;999;0;nonexistent;yes
85~89;retired;divorced;basic.4y;no;yes;no;cellular;mar;wed;1~56;999;0;nonexistent;no
85~89;retired;divorced;basic.4y;no;yes;no;cellular;mar;wed;1~56;999;0;nonexistent;yes
85~89;retired;divorced;basic.4y;no;no;no;cellular;mar;wed;1~56;999;0;nonexistent;yes
85~89;retired;divorced;basic.4y;no;yes;no;cellular;mar;wed;1~56;999;0;nonexistent;no
85~89;retired;divorced;basic.4y;no;yes;no;cellular;mar;wed;1~56;999;0;nonexistent;yes
85~89;retired;divorced;basic.4y;no;yes;yes;cellular;mar;wed;1~56;999;0;nonexistent;no
85~89;retired;divorced;basic.4y;no;yes;yes;cellular;mar;wed;1~56;999;0;nonexistent;no
85~89;retired;divorced;basic.4y;no;yes;no;cellular;mar;wed;1~56;999;0;nonexistent;yes
85~89;retired;divorced;basic.4y;no;no;no;cellular;mar;wed;1~56;999;0;nonexistent;yes
85~89;retired;divorced;basic.4y;no;yes;no;cellular;mar;wed;1~56;999;0;nonexistent;yes
85~89;retired;divorced;high.school;no;yes;no;cellular;may;mon;1~56;999;0;nonexistent;no
85~89;retired;divorced;basic.4y;no;yes;no;cellular;may;wed;1~56;999;0;nonexistent;no
85~89;retired;divorced;basic.4y;no;yes;no;cellular;aug;thu;1~56;999;0;nonexistent;no
85~89;retired;divorced;basic.4y;no;no;no;cellular;aug;fri;1~56;999;0;nonexistent;yes
85~89;retired;married;university.degree;no;yes;no;cellular;aug;mon;1~56;999;0;nonexistent;no
85~89;retired;divorced;basic.4y;no;unknown;unknown;cellular;oct;wed;1~56;999;0;nonexistent;no
85~89;retired;divorced;basic.4y;no;yes;no;cellular;oct;wed;1~56;999;0;nonexistent;no
85~89;retired;divorced;basic.4y;no;no;no;cellular;oct;wed;1~56;6;1;success;yes
85~89;retired;divorced;basic.4y;no;yes;no;cellular;nov;wed;1~56;999;1;failure;no
85~89;retired;married;professional.course;no;no;no;telephone;dec;wed;1~56;999;0;nonexistent;yes
85~89;retired;married;basic.4y;unknown;yes;no;cellular;mar;tue;1~56;999;2;failure;no
85~89;retired;divorced;basic.4y;no;no;no;cellular;jun;mon;1~56;999;0;nonexistent;yes
85~89;retired;single;basic.9y;unknown;no;no;telephone;jun;wed;1~56;999;0;nonexistent;yes
85~89;retired;married;basic.4y;no;no;no;cellular;sep;mon;1~56;999;0;nonexistent;no
85~89;retired;married;basic.4y;no;yes;no;cellular;sep;mon;1~56;999;0;nonexistent;no
85~89;retired;married;basic.4y;no;no;no;cellular;sep;mon;1~56;999;0;nonexistent;no
85~89;retired;divorced;basic.4y;no;yes;no;cellular;sep;tue;1~56;999;0;nonexistent;yes
85~89;retired;married;basic.4y;no;yes;no;cellular;sep;tue;1~56;999;0;nonexistent;yes
85~89;retired;married;unknown;unknown;yes;yes;cellular;sep;tue;1~56;7;4;success;yes
85~89;retired;married;unknown;unknown;yes;no;cellular;sep;tue;1~56;999;0;nonexistent;yes
80~84;retired;married;unknown;no;no;no;cellular;apr;wed;1~56;999;0;nonexistent;yes
80~84;retired;married;basic.4y;unknown;yes;no;cellular;apr;tue;1~56;999;0;nonexistent;yes
80~84;retired;married;basic.4y;no;yes;no;cellular;apr;thu;1~56;999;0;nonexistent;no
80~84;retired;married;basic.4y;no;yes;no;cellular;apr;fri;1~56;999;0;nonexistent;no
80~84;retired;married;basic.4y;no;no;no;cellular;apr;mon;1~56;999;0;nonexistent;no
80~84;retired;married;basic.4y;no;no;no;cellular;apr;tue;1~56;999;0;nonexistent;no
80~84;retired;married;basic.4y;no;yes;no;cellular;apr;thu;1~56;999;0;nonexistent;no
80~84;retired;married;professional.course;no;yes;no;cellular;apr;thu;1~56;999;0;nonexistent;no
80~84;retired;married;professional.course;no;no;no;cellular;apr;thu;1~56;999;0;nonexistent;no
80~84;retired;married;basic.9y;no;no;no;cellular;may;mon;1~56;999;1;failure;no
80~84;retired;married;basic.4y;no;no;no;cellular;may;mon;1~56;999;0;nonexistent;yes
80~84;retired;divorced;unknown;unknown;yes;yes;cellular;may;fri;1~56;999;0;nonexistent;yes
80~84;retired;married;basic.9y;no;yes;yes;cellular;may;fri;1~56;3;3;failure;no
80~84;retired;married;university.degree;no;no;no;cellular;aug;fri;1~56;999;2;failure;no
80~84;retired;married;professional.course;no;no;no;cellular;aug;tue;1~56;999;0;nonexistent;yes
80~84;retired;married;basic.6y;no;no;no;cellular;aug;thu;1~56;4;1;success;no
80~84;retired;married;high.school;no;no;no;cellular;aug;tue;1~56;999;0;nonexistent;no
80~84;retired;married;unknown;no;yes;no;cellular;sep;fri;1~56;999;0;nonexistent;no
80~84;retired;married;unknown;no;yes;no;cellular;sep;mon;1~56;999;0;nonexistent;no
80~84;retired;married;basic.4y;no;yes;no;cellular;sep;fri;1~56;999;0;nonexistent;yes
80~84;retired;married;professional.course;no;yes;no;cellular;oct;fri;1~56;4;1;success;yes
80~84;retired;married;university.degree;no;yes;no;cellular;oct;tue;1~56;999;0;nonexistent;yes
80~84;retired;married;university.degree;no;yes;yes;cellular;oct;tue;1~56;999;1;failure;no
80~84;retired;married;university.degree;no;yes;no;cellular;oct;tue;1~56;999;0;nonexistent;no
80~84;retired;married;basic.9y;no;no;no;cellular;oct;fri;1~56;999;0;nonexistent;no
80~84;housemaid;divorced;basic.4y;unknown;yes;no;telephone;oct;fri;1~56;999;0;nonexistent;no
