weight,ph,avg
Cluster: 0, Atts.Values: 311.000000,106.000000,510.000000
Cluster: 0, Atts.Values: 151.000000,230.000000,819.000000
Cluster: 0, Atts.Values: 200.000000,110.000000,237.000000
Cluster: 0, Atts.Values: 380.000000,135.000000,52.000000
Cluster: 0, Atts.Values: 105.000000,310.000000,661.000000
Cluster: 0, Atts.Values: 29.000000,295.000000,358.000000
Cluster: 0, Atts.Values: 282.000000,36.000000,347.000000
Cluster: 0, Atts.Values: 464.000000,132.000000,484.000000
Cluster: 0, Atts.Values: 373.000000,118.000000,290.000000
Cluster: 0, Atts.Values: 73.000000,274.000000,516.000000
Cluster: 0, Atts.Values: 29.000000,235.000000,111.000000
Cluster: 0, Atts.Values: 127.000000,153.000000,668.000000
Cluster: 0, Atts.Values: 33.000000,146.000000,668.000000
Cluster: 0, Atts.Values: 215.000000,174.000000,890.000000
Cluster: 0, Atts.Values: 310.000000,258.000000,14.000000
Cluster: 0, Atts.Values: 60.000000,317.000000,177.000000
Cluster: 0, Atts.Values: 161.000000,185.000000,512.000000
Cluster: 0, Atts.Values: 83.000000,169.000000,743.000000
Cluster: 0, Atts.Values: 235.000000,102.000000,797.000000
Cluster: 0, Atts.Values: 643.000000,11.000000,391.000000
Cluster: 0, Atts.Values: 124.000000,357.000000,483.000000
Cluster: 0, Atts.Values: 154.000000,337.000000,146.000000
Cluster: 0, Atts.Values: 658.000000,3.000000,182.000000
Cluster: 0, Atts.Values: 474.000000,10.000000,678.000000
Cluster: 0, Atts.Values: 160.000000,123.000000,406.000000
Cluster: 0, Atts.Values: 666.000000,15.000000,97.000000
Cluster: 0, Atts.Values: 208.000000,122.000000,109.000000
Cluster: 0, Atts.Values: 84.000000,214.000000,199.000000
Cluster: 0, Atts.Values: 342.000000,120.000000,25.000000
Cluster: 0, Atts.Values: 356.000000,33.000000,771.000000
Cluster: 0, Atts.Values: 479.000000,86.000000,123.000000
Cluster: 0, Atts.Values: 9.000000,126.000000,890.000000
Cluster: 0, Atts.Values: 48.000000,113.000000,416.000000
Cluster: 0, Atts.Values: 190.000000,82.000000,746.000000
Cluster: 0, Atts.Values: 345.000000,54.000000,281.000000
Cluster: 0, Atts.Values: 265.000000,188.000000,364.000000
Cluster: 0, Atts.Values: 474.000000,29.000000,313.000000
Cluster: 0, Atts.Values: 496.000000,112.000000,266.000000
Cluster: 0, Atts.Values: 250.000000,23.000000,717.000000
Cluster: 0, Atts.Values: 115.000000,121.000000,683.000000
Cluster: 0, Atts.Values: 452.000000,85.000000,447.000000
Cluster: 0, Atts.Values: 390.000000,79.000000,612.000000
Cluster: 0, Atts.Values: 17.000000,206.000000,360.000000
